"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 21:55:57 GMT 2024","Sun Mar 17 21:55:57 GMT 2024","71","Spies, Stubs, and Clock","","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Sun Mar 17 21:56:03 GMT 2024","Sun Mar 17 21:56:03 GMT 2024","82","Traversal","","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Sun Mar 17 21:55:45 GMT 2024","Sun Mar 17 21:55:45 GMT 2024","311","Navigation","","","","","cy.visit() - visit a remote url",""
"passed","Sun Mar 17 21:56:05 GMT 2024","Sun Mar 17 21:56:05 GMT 2024","200","Utilities","","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Sun Mar 17 21:56:06 GMT 2024","Sun Mar 17 21:56:07 GMT 2024","1067","Utilities","","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Sun Mar 17 21:55:59 GMT 2024","Sun Mar 17 21:56:00 GMT 2024","155","Local Storage / Session Storage","","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Sun Mar 17 21:55:52 GMT 2024","Sun Mar 17 21:55:52 GMT 2024","607","Querying","","","","","best practices - selecting elements",""
"passed","Sun Mar 17 21:55:54 GMT 2024","Sun Mar 17 21:55:54 GMT 2024","342","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Sun Mar 17 21:56:02 GMT 2024","Sun Mar 17 21:56:02 GMT 2024","76","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Sun Mar 17 21:55:51 GMT 2024","Sun Mar 17 21:55:51 GMT 2024","429","Querying","","","","","cy.get() - query DOM elements",""
"passed","Sun Mar 17 21:56:02 GMT 2024","Sun Mar 17 21:56:02 GMT 2024","81","Traversal","","","","",".next() - get next sibling DOM element",""
"passed","Sun Mar 17 21:56:18 GMT 2024","Sun Mar 17 21:56:19 GMT 2024","85","Window","","","","","cy.document() - get the document object",""
"passed","Sun Mar 17 21:56:02 GMT 2024","Sun Mar 17 21:56:02 GMT 2024","97","Traversal","","","","",".closest() - get closest ancestor DOM element",""
"passed","Sun Mar 17 21:55:43 GMT 2024","Sun Mar 17 21:55:44 GMT 2024","971","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Sun Mar 17 21:55:48 GMT 2024","Sun Mar 17 21:55:48 GMT 2024","195","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Sun Mar 17 21:56:03 GMT 2024","Sun Mar 17 21:56:03 GMT 2024","89","Traversal","","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Sun Mar 17 21:56:00 GMT 2024","Sun Mar 17 21:56:00 GMT 2024","146","Local Storage / Session Storage","","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Sun Mar 17 21:55:57 GMT 2024","Sun Mar 17 21:55:57 GMT 2024","17","Spies, Stubs, and Clock","","","","","cy.stub() matches depending on arguments",""
"passed","Sun Mar 17 21:56:03 GMT 2024","Sun Mar 17 21:56:03 GMT 2024","77","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Sun Mar 17 21:56:05 GMT 2024","Sun Mar 17 21:56:05 GMT 2024","165","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Sun Mar 17 21:55:51 GMT 2024","Sun Mar 17 21:55:52 GMT 2024","108","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Sun Mar 17 21:55:44 GMT 2024","Sun Mar 17 21:55:45 GMT 2024","366","Navigation","","","","","cy.reload() - reload the page",""
"passed","Sun Mar 17 21:55:51 GMT 2024","Sun Mar 17 21:55:51 GMT 2024","161","Querying","","","","","cy.contains() - query DOM elements with matching content",""
"passed","Sun Mar 17 21:56:18 GMT 2024","Sun Mar 17 21:56:18 GMT 2024","185","Window","","","","","cy.window() - get the global window object",""
"passed","Sun Mar 17 21:55:47 GMT 2024","Sun Mar 17 21:55:47 GMT 2024","478","Network Requests","","","","","cy.request() - make an XHR request",""
"passed","Sun Mar 17 21:56:05 GMT 2024","Sun Mar 17 21:56:05 GMT 2024","228","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Sun Mar 17 21:56:03 GMT 2024","Sun Mar 17 21:56:03 GMT 2024","95","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Sun Mar 17 21:55:47 GMT 2024","Sun Mar 17 21:55:48 GMT 2024","265","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Sun Mar 17 21:56:00 GMT 2024","Sun Mar 17 21:56:00 GMT 2024","143","Local Storage / Session Storage","","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
