"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 13:21:29 GMT 2024","Tue Mar 26 13:21:29 GMT 2024","180","Local Storage / Session Storage","","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Tue Mar 26 13:21:17 GMT 2024","Tue Mar 26 13:21:17 GMT 2024","261","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Tue Mar 26 13:21:44 GMT 2024","Tue Mar 26 13:21:44 GMT 2024","94","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Tue Mar 26 13:21:17 GMT 2024","Tue Mar 26 13:21:18 GMT 2024","240","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Tue Mar 26 13:21:29 GMT 2024","Tue Mar 26 13:21:29 GMT 2024","583","Local Storage / Session Storage","","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Tue Mar 26 13:21:18 GMT 2024","Tue Mar 26 13:21:18 GMT 2024","269","Network Requests","","","","","cy.request() - save response in the shared test context",""
"passed","Tue Mar 26 13:21:18 GMT 2024","Tue Mar 26 13:21:19 GMT 2024","1007","Network Requests","","","","","cy.intercept() - route responses to matching requests",""
"passed","Tue Mar 26 13:21:48 GMT 2024","Tue Mar 26 13:21:48 GMT 2024","128","Connectors","","","","",".its() - get properties on the current subject",""
"passed","Tue Mar 26 13:21:50 GMT 2024","Tue Mar 26 13:21:50 GMT 2024","83","Window","","","","","cy.document() - get the document object",""
"passed","Tue Mar 26 13:21:21 GMT 2024","Tue Mar 26 13:21:22 GMT 2024","85","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Tue Mar 26 13:21:58 GMT 2024","Tue Mar 26 13:21:58 GMT 2024","205","Location","","","","","cy.hash() - get the current URL hash",""
"passed","Tue Mar 26 13:21:54 GMT 2024","Tue Mar 26 13:21:54 GMT 2024","78","Cypress.env()","","","","","Get environment variables",""
"passed","Tue Mar 26 13:21:38 GMT 2024","Tue Mar 26 13:21:40 GMT 2024","2099","Actions","","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Tue Mar 26 13:21:24 GMT 2024","Tue Mar 26 13:21:24 GMT 2024","203","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Tue Mar 26 13:21:21 GMT 2024","Tue Mar 26 13:21:21 GMT 2024","115","Actions","","","","",".focus() - focus on a DOM element",""
"passed","Tue Mar 26 13:21:32 GMT 2024","Tue Mar 26 13:21:32 GMT 2024","98","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Tue Mar 26 13:21:21 GMT 2024","Tue Mar 26 13:21:21 GMT 2024","88","Querying","","","","",".within() - query DOM elements within a specific element",""
"passed","Tue Mar 26 13:21:17 GMT 2024","Tue Mar 26 13:21:17 GMT 2024","537","Network Requests","","","","","cy.request() - make an XHR request",""
"passed","Tue Mar 26 13:21:24 GMT 2024","Tue Mar 26 13:21:26 GMT 2024","2534","Spies, Stubs, and Clock","","","","","cy.spy() retries until assertions pass",""
"passed","Tue Mar 26 13:21:51 GMT 2024","Tue Mar 26 13:21:52 GMT 2024","186","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Tue Mar 26 13:21:30 GMT 2024","Tue Mar 26 13:21:30 GMT 2024","209","Local Storage / Session Storage","","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Tue Mar 26 13:21:48 GMT 2024","Tue Mar 26 13:21:48 GMT 2024","107","Connectors","","","","",".invoke() - invoke a function on the current subject",""
"passed","Tue Mar 26 13:21:51 GMT 2024","Tue Mar 26 13:21:51 GMT 2024","119","Cookies","","","","","cy.getAllCookies() - get all browser cookies",""
"passed","Tue Mar 26 13:21:33 GMT 2024","Tue Mar 26 13:21:34 GMT 2024","93","Traversal","","","","",".prev() - get previous sibling DOM element",""
"passed","Tue Mar 26 13:21:24 GMT 2024","Tue Mar 26 13:21:24 GMT 2024","343","Navigation","","","","","cy.visit() - visit a remote url",""
"passed","Tue Mar 26 13:21:36 GMT 2024","Tue Mar 26 13:21:36 GMT 2024","171","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Tue Mar 26 13:22:01 GMT 2024","Tue Mar 26 13:22:02 GMT 2024","1016","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Tue Mar 26 13:21:48 GMT 2024","Tue Mar 26 13:21:49 GMT 2024","89","Connectors",".then()","","","","invokes a callback function with the current subject",""
