"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 13:39:56 GMT 2024","Tue Mar 26 13:39:56 GMT 2024","259","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Tue Mar 26 13:40:08 GMT 2024","Tue Mar 26 13:40:08 GMT 2024","278","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Tue Mar 26 13:40:17 GMT 2024","Tue Mar 26 13:40:18 GMT 2024","93","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Tue Mar 26 13:40:05 GMT 2024","Tue Mar 26 13:40:05 GMT 2024","108","Querying","","","","",".within() - query DOM elements within a specific element",""
"passed","Tue Mar 26 13:40:19 GMT 2024","Tue Mar 26 13:40:19 GMT 2024","396","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Tue Mar 26 13:40:19 GMT 2024","Tue Mar 26 13:40:20 GMT 2024","192","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Tue Mar 26 13:40:25 GMT 2024","Tue Mar 26 13:40:25 GMT 2024","122","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Tue Mar 26 13:40:40 GMT 2024","Tue Mar 26 13:40:40 GMT 2024","266","Location","","","","","cy.hash() - get the current URL hash",""
"passed","Tue Mar 26 13:40:43 GMT 2024","Tue Mar 26 13:40:44 GMT 2024","901","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Tue Mar 26 13:40:16 GMT 2024","Tue Mar 26 13:40:17 GMT 2024","99","Traversal","","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Tue Mar 26 13:40:11 GMT 2024","Tue Mar 26 13:40:11 GMT 2024","245","Spies, Stubs, and Clock","","","","","cy.tick() - move time in the browser",""
"passed","Tue Mar 26 13:40:32 GMT 2024","Tue Mar 26 13:40:32 GMT 2024","300","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Tue Mar 26 13:40:35 GMT 2024","Tue Mar 26 13:40:35 GMT 2024","157","Cypress.Cookies","","","","",".debug() - enable or disable debugging",""
"passed","Tue Mar 26 13:40:30 GMT 2024","Tue Mar 26 13:40:30 GMT 2024","116","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Tue Mar 26 13:40:15 GMT 2024","Tue Mar 26 13:40:16 GMT 2024","775","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Tue Mar 26 13:40:40 GMT 2024","Tue Mar 26 13:40:40 GMT 2024","131","Location","","","","","cy.location() - get window.location",""
"passed","Tue Mar 26 13:40:01 GMT 2024","Tue Mar 26 13:40:02 GMT 2024","469","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Tue Mar 26 13:40:32 GMT 2024","Tue Mar 26 13:40:33 GMT 2024","171","Cookies","","","","","cy.getAllCookies() - get all browser cookies",""
"passed","Tue Mar 26 13:40:34 GMT 2024","Tue Mar 26 13:40:34 GMT 2024","104","Window","","","","","cy.document() - get the document object",""
"passed","Tue Mar 26 13:40:26 GMT 2024","Tue Mar 26 13:40:26 GMT 2024","103","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Tue Mar 26 13:40:42 GMT 2024","Tue Mar 26 13:40:43 GMT 2024","286","Misc","","","","","cy.exec() - execute a system command",""
"passed","Tue Mar 26 13:40:38 GMT 2024","Tue Mar 26 13:40:38 GMT 2024","381","Files","","","","","cy.fixture() - load a fixture",""
"passed","Tue Mar 26 13:40:17 GMT 2024","Tue Mar 26 13:40:17 GMT 2024","92","Traversal","","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Tue Mar 26 13:40:36 GMT 2024","Tue Mar 26 13:40:36 GMT 2024","106","Cypress.version","","","","","Get current version of Cypress being run",""
"passed","Tue Mar 26 13:40:42 GMT 2024","Tue Mar 26 13:40:42 GMT 2024","472","Misc","","","","",".end() - end the command chain",""
"passed","Tue Mar 26 13:40:30 GMT 2024","Tue Mar 26 13:40:30 GMT 2024","99","Connectors","","","","",".spread() - spread an array as individual args to callback function",""
"passed","Tue Mar 26 13:40:16 GMT 2024","Tue Mar 26 13:40:16 GMT 2024","99","Traversal","","","","",".first() - get first DOM element",""
"passed","Tue Mar 26 13:40:02 GMT 2024","Tue Mar 26 13:40:03 GMT 2024","1229","Network Requests","","","","","cy.intercept() - route responses to matching requests",""
