"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 22:13:37 GMT 2024","Sun Mar 17 22:13:37 GMT 2024","88","Traversal","","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Sun Mar 17 22:13:35 GMT 2024","Sun Mar 17 22:13:35 GMT 2024","288","Traversal","","","","",".children() - get child DOM elements",""
"passed","Sun Mar 17 22:13:39 GMT 2024","Sun Mar 17 22:13:40 GMT 2024","172","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Sun Mar 17 22:13:43 GMT 2024","Sun Mar 17 22:13:46 GMT 2024","2851","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Sun Mar 17 22:13:33 GMT 2024","Sun Mar 17 22:13:34 GMT 2024","140","Local Storage / Session Storage","","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Sun Mar 17 22:13:33 GMT 2024","Sun Mar 17 22:13:33 GMT 2024","142","Local Storage / Session Storage","","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Sun Mar 17 22:13:53 GMT 2024","Sun Mar 17 22:13:53 GMT 2024","256","Window","","","","","cy.window() - get the global window object",""
"passed","Sun Mar 17 22:13:19 GMT 2024","Sun Mar 17 22:13:20 GMT 2024","711","Network Requests","","","","","cy.request() - make an XHR request",""
"passed","Sun Mar 17 22:13:36 GMT 2024","Sun Mar 17 22:13:37 GMT 2024","111","Traversal","","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Sun Mar 17 22:13:39 GMT 2024","Sun Mar 17 22:13:39 GMT 2024","525","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Sun Mar 17 22:13:21 GMT 2024","Sun Mar 17 22:13:21 GMT 2024","304","Network Requests","","","","","cy.request() - save response in the shared test context",""
"passed","Sun Mar 17 22:13:47 GMT 2024","Sun Mar 17 22:13:51 GMT 2024","4465","Waiting","","","","","cy.wait() - wait for a specific amount of time",""
"passed","Sun Mar 17 22:13:33 GMT 2024","Sun Mar 17 22:13:33 GMT 2024","140","Local Storage / Session Storage","","","","","cy.clearAllLocalStorage() - clear all data in localStorage for all origins",""
"passed","Sun Mar 17 22:13:40 GMT 2024","Sun Mar 17 22:13:40 GMT 2024","77","Utilities","","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Sun Mar 17 22:13:36 GMT 2024","Sun Mar 17 22:13:36 GMT 2024","77","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
